name,path,size,file_or_dir
240f8faaf4618dcb793c1af73819554d4fbf21,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\6a,480,file
d9e2f4690a88f0ee344269458566a187e8ed5c,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\6a,73,file
318c4b1881da8c9ceed73101523586dabe46af,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\72,704,file
8606770ad5c7238ffb99c9e01d2177e043d9dc,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\73,162,file
9723bcc357582212267d8067db42a3b54877fa,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\73,409,file
baa4252a78499f32a0601dbb6a19bbb5dab2e6,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\73,234,file
a69508425e9d57d3c83f58b15e11857a22b5da,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\78,271,file
ebeba1e6500b92c43624eb20fb6071f73eb24a,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\79,529,file
8ed5d43566b1f3427299dca48bcb077863a507,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\7f,515,file
c0addd09bbd8e26cd78dfac4048a092a495006,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\7f,136,file
60f7a356999cf595332ecc2940c690eaadaeee,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\83,378,file
fa87bd6f452df68ed1ee88487950314854fb84,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\83,156,file
104ee08a50efa32c9ea80f5c2eeab0244f3dee,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\85,229,file
53a0338dd1c2e40c5d4b245051b9d0ac6adada,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\88,79,file
664972cbe2cf93167a742e1dd7bd9e1197543b,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\8b,135,file
ad0bbd743c64cdcbf95f5be10b699d80c62188,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\8e,230,file
8b2fd624d7526e19e72947381f78b77ae46393,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\8f,165,file
d0bff354004d8f392bf897208e25064e8dd499,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\90,172,file
4d015f5757406fee742565a58094c7ea485d78,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\92,82,file
b4408cf5e02ec559ec4055082fedda1564e4a5,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\94,443,file
7d62d458c46554b1125535cb983f4a8fee2a31,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\95,920,file
03c82910f4fd20a8bcc3b92bbb983b5367a508,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\96,236,file
824ec9b0149e48c91dce4fee530335b327c686,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\97,66,file
fb90d12620db2dccbdadde1beddc39abffef52,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\98,395,file
04ff103e49c9634cfd02bac12071cfe1d8feee,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\99,158,file
1d77e414467a254e43fd2625b2564ff64427ae,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\9c,482,file
61f0f7f248fa3f33a14aa748c605e7eacde405,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\9d,155,file
e2b3dcddfc5fc0bb7957afc932e7150db33cde,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\a3,456,file
